Security Code,Security Name,Name of Person,Category of person,Type of Securities held Prior to acquisition/Disposed),Number of Securities held Prior to acquisition/Disposed,%   of  Securities held Prior to acquisition/Disposed,Type of Securities Acquired/Disposed/Pledge etc.,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Type of Securities held Post  acquisition/Disposed/Pledge  etc,Number of Securities held Post  acquisition/Disposed/Pledge etc,Post-Transaction % of Shareholding,Date of acquisition of shares/sale of shares/Date of Allotment(From date),Date of acquisition of shares/sale of shares/Date of Allotment( To date  ),Date of Intimation to Company,Mode of Acquisition,Trading in Derivative - Type of Contract,Derivative Contract  Specification,Derivatives - Buy Value (Notional),Derivatives - Buy-Number of Units(Contracts*lot size),Derivatives - Sales Value (Notional),Derivatives - Sales-Number of Units(Contracts * lot size),Exchange on which the Trade was executed,Reported to Exchange
539889,Parag Milk Foods Ltd,Sixth Sense India Opportunities III,Connected Person,Equity Shares,6651867,5.67,Equity Shares,292000,42624768.00,Acquisition,Equity,6943867,5.91,30 Jun 2023,30 Jun 2023,30 Jun 2023,Market Purchase,,,,,,,NSE,04 Jul 2023
523269,ADVANI HOTELS & RESORTS (INDIA) LTD.,Sunder G. Advani,Promoter & Director,Equity Shares,9445893,20.44,Equity Shares,3418869,304313530.00,Disposal,Equity,6027024,13.04,30 Jun 2023,30 Jun 2023,01 Jul 2023,Inter-se Transfer,,,,,,,NA,04 Jul 2023
539889,Parag Milk Foods Ltd,Sixth Sense India Opportunities III,Connected Person,Equity Shares,6534867,5.57,Equity Shares,98000,13471778.00,Acquisition,Equity,6632867,5.65,28 Jun 2023,28 Jun 2023,30 Jun 2023,Market Purchase,,,,,,,NSE,04 Jul 2023
542651,KPIT Technologies Ltd,Pushpahas Joshi,Designated Person,Equity Shares,97438,0.04,Equity Shares,1800,1976040.00,Disposal,Equity,95638,0.03,28 Jun 2023,28 Jun 2023,03 Jul 2023,Market Sale,,,,,,,NSE,04 Jul 2023
539889,Parag Milk Foods Ltd,Sixth Sense India Opportunities III,Connected Person,Equity Shares,6632867,5.65,Equity Shares,19000,2601584.00,Acquisition,Equity,6651867,5.67,28 Jun 2023,28 Jun 2023,30 Jun 2023,Market Purchase,,,,,,,BSE,04 Jul 2023
533156,Vascon Engineers Ltd,Tanaji Waman Atole,Designated Person,Equity Shares,414500,0.19,Equity Shares,50000,2075000.00,Disposal,Equity,364500,0.17,27 Jun 2023,27 Jun 2023,30 Jun 2023,Market Sale,,,,,,,NSE,04 Jul 2023
533156,Vascon Engineers Ltd,Tanaji Waman Atole,Designated Person,Equity Shares,364500,0.17,Equity Shares,25000,1132500.00,Disposal,Equity,339500,0.16,30 Jun 2023,30 Jun 2023,03 Jul 2023,Market Sale,,,,,,,NSE,04 Jul 2023
543282,Niks Technology Ltd,ANAMIKA ANAND,Promoter Group,Equity Shares,16400,4.51,Equity Shares,3000,726000.00,Disposal,Equity,13400,3.69,30 Jun 2023,30 Jun 2023,03 Jul 2023,Market Sale,,,,,,,BSE,04 Jul 2023
540767,Nippon Life India Asset Management Ltd,Shashank Shekhar,Designated Person,Equity Shares,22615,0.00,Equity Shares,2000,576300.00,Revoke,Equity,22615,0.00,30 Jun 2023,30 Jun 2023,04 Jul 2023,Revocation Of Pledge,,,,,,,NA,04 Jul 2023
540767,Nippon Life India Asset Management Ltd,Shashank Shekhar,Designated Person,Equity Shares,22615,0.00,Equity Shares,2000,595320.00,Disposal,Equity,20615,0.00,30 Jun 2023,30 Jun 2023,02 Jul 2023,Market Sale,,,,,,,NSE,04 Jul 2023
540767,Nippon Life India Asset Management Ltd,Hardaman Seth,Designated Person,Equity Shares,30000,0.00,Equity Shares,8000,2360320.00,Disposal,Equity,22000,0.00,30 Jun 2023,30 Jun 2023,30 Jun 2023,Market Sale,,,,,,,NSE,04 Jul 2023
543652,Fusion Micro Finance Ltd,MD Modaswer Hossain,Designated Person,Equity Shares,46350,0.04,Equity Shares,1450,751995.00,Disposal,Equity,44900,0.04,30 May 2023,07 Jun 2023,03 Jul 2023,Market Sale,,,,,,,NSE,04 Jul 2023
543714,Landmark Cars Ltd,Minesh Shah,Designated Person,Equity Shares,92,0.00,Equity Shares,92,66350.00,Disposal,Equity,0,0.00,27 Jun 2023,27 Jun 2023,30 Jun 2023,Market Sale,,,,,,,NSE,04 Jul 2023
543714,Landmark Cars Ltd,Devang Dave,Designated Person,Equity Shares,26813,0.06,Equity Shares,25000,17756543.00,Disposal,Equity,1813,0.00,30 Jun 2023,30 Jun 2023,30 Jun 2023,Market Sale,,,,,,,NSE,04 Jul 2023
543714,Landmark Cars Ltd,Kuntal Merchant,Designated Person,Equity Shares,500,0.00,Equity Shares,450,319556.00,Disposal,Equity,50,0.00,30 Jun 2023,30 Jun 2023,02 Jul 2023,Market Sale,,,,,,,NSE,04 Jul 2023
543714,Landmark Cars Ltd,Rishit Panchal,Designated Person,Equity Shares,377,0.00,Equity Shares,377,272530.00,Disposal,Equity,0,0.00,23 Jun 2023,23 Jun 2023,04 Jul 2023,Market Sale,,,,,,,NSE,04 Jul 2023
543714,Landmark Cars Ltd,Harit Halani,Designated Person,Equity Shares,1422,0.00,Equity Shares,422,316500.00,Disposal,Equity,1000,0.00,28 Jun 2023,28 Jun 2023,02 Jul 2023,Market Sale,,,,,,,NSE,04 Jul 2023
543714,Landmark Cars Ltd,Garima Misra,Designated Person,Equity Shares,906198,2.25,Equity Shares,14000,10473750.00,Disposal,Equity,892198,2.22,28 Jun 2023,28 Jun 2023,30 Jun 2023,Market Sale,,,,,,,NSE,04 Jul 2023
543714,Landmark Cars Ltd,Bharti Panchal,Designated Person,Equity Shares,377,0.00,Equity Shares,377,272530.00,Disposal,Equity,0,0.00,23 Jun 2023,23 Jun 2023,04 Jul 2023,Market Sale,,,,,,,NSE,04 Jul 2023
532395,Axiscades Technologies Ltd,Pankaj Singhal,Designated Person,Equity Shares,18251,0.05,Equity Shares,1250,624125.00,Disposal,Equity,17001,0.04,28 Jun 2023,28 Jun 2023,30 Jun 2023,Market Sale,,,,,,,NSE,04 Jul 2023
542020,AKI India Ltd,Asad Kamal Iraqi,Promoter,Equity Shares,40868945,61.06,Equity Shares,197048,4469049.00,Disposal,Equity,40671897,60.77,30 Jun 2023,30 Jun 2023,04 Jul 2023,Market Sale,,,,,,,BSE,04 Jul 2023
500214,ION EXCHANGE (INDIA) LTD.-$,Nirmala Patni,Promoter Group,Equity Shares,83000,0.06,Equity Shares,83000,34117139.00,Disposal,Equity,0,0.00,30 Jun 2023,30 Jun 2023,01 Jul 2023,Market Sale,,,,,,,BSE,04 Jul 2023
500214,ION EXCHANGE (INDIA) LTD.-$,Anita Jain,Promoter Group,Equity Shares,55460,0.04,Equity Shares,55460,22973008.00,Disposal,Equity,0,0.00,30 Jun 2023,30 Jun 2023,01 Jul 2023,Market Sale,,,,,,,BSE,04 Jul 2023
532748,PRIME FOCUS LTD.,Dinesh Manik,Designated Person,Equity Shares,12000,0.00,Equity Shares,11000,1215658.00,Disposal,Equity,1000,0.00,05 Jun 2023,28 Jun 2023,03 Jul 2023,Market Sale,,,,,,,NSE,04 Jul 2023
532915,RELIGARE ENTERPRISES LTD.,Ashok Kumar B,Employee,Equity Shares,15000,0.00,Equity Shares,1020,183600.00,Disposal,Equity,13980,0.00,27 Jun 2023,27 Jun 2023,03 Jul 2023,Market Sale,,,,,,,NSE,04 Jul 2023
532915,RELIGARE ENTERPRISES LTD.,Ashok Kumar B,Employee,Equity Shares,13980,0.00,Equity Shares,5580,1004400.00,Disposal,Equity,8400,0.00,28 Jun 2023,28 Jun 2023,03 Jul 2023,Market Sale,,,,,,,NSE,04 Jul 2023
532915,RELIGARE ENTERPRISES LTD.,Ashok Kumar B,Employee,Equity Shares,8400,0.00,Equity Shares,8400,1508305.00,Disposal,Equity,0,0.00,30 Jun 2023,30 Jun 2023,03 Jul 2023,Market Sale,,,,,,,NSE,04 Jul 2023
540198,Osiajee Texfab Ltd,Navraav Electro Limited,Other,Equity Shares,41732,0.77,Equity Shares,17954,1041662.00,Disposal,Equity,23778,0.44,26 Jun 2023,30 Jun 2023,01 Jul 2023,Market Sale,,,,,,,BSE,04 Jul 2023
519126,HINDUSTAN FOODS LTD.,Convergent Finance LLP,Other,Equity Shares,814092,0.72,Equity Shares,18758,9759433.00,Disposal,Equity,795334,0.71,30 Jun 2023,30 Jun 2023,30 Jun 2023,Market Sale,,,,,,,NSE,04 Jul 2023
519126,HINDUSTAN FOODS LTD.,SG Holdings,Other,Equity Shares,1171165,1.04,Equity Shares,27357,14239647.00,Disposal,Equity,1143808,1.01,30 Jun 2023,30 Jun 2023,30 Jun 2023,Market Sale,,,,,,,NSE,04 Jul 2023
519126,HINDUSTAN FOODS LTD.,HR Holdings,Other,Equity Shares,2095573,1.86,Equity Shares,47430,24659678.00,Disposal,Equity,2048143,1.82,30 Jun 2023,30 Jun 2023,30 Jun 2023,Market Sale,,,,,,,NSE,04 Jul 2023
540005,LTIMindtree Ltd,Arvind Ankalikar,Designated Person,Equity Shares,65710,0.02,Equity Shares,1500,7800000.00,Disposal,Equity,64210,0.02,30 Jun 2023,30 Jun 2023,01 Jul 2023,Market Sale,,,,,,,NSE,04 Jul 2023
532777,INFO EDGE (INDIA) LTD.,Swati Vashistha,Designated Person,Equity Shares,3032,0.00,Equity Shares,3032,13450549.00,Invoke,Equity,0,0.00,27 Jun 2023,28 Jun 2023,30 Jun 2023,Invocation Of Pledged,,,,,,,BSE,03 Jul 2023
500330,RAYMOND LTD.,Raymond Limited ESOP Trust,Connected Person,Equity Shares,10191,0.02,Equity Shares,12109,20629982.00,Acquisition,Equity,22300,0.03,30 Jun 2023,30 Jun 2023,30 Jun 2023,Market Purchase,,,,,,,NSE,03 Jul 2023
531162,EMAMI LTD.-$,SURAJ FINVEST PRIVATE LIMITED,Promoter Group,Equity Shares,105720226,24.08,Equity Shares,235018,99812145.00,Revoke,Equity,105720226,24.08,30 Jun 2023,30 Jun 2023,30 Jun 2023,Pledge Released,,,,,,,NA,03 Jul 2023
532809,FIRSTSOURCE SOLUTIONS LTD.,Bhupendra Gupta,Designated Person,Equity Shares,22723,0.00,Equity Shares,22723,2980000.00,Disposal,Equity,0,0.00,27 Jun 2023,28 Jun 2023,02 Jul 2023,Market Sale,,,,,,,NSE,03 Jul 2023
540115,L&T Technology Services Ltd,Ashish Khushu,Designated Person,Equity Shares,3000,0.00,Equity Shares,12000,24000.00,Acquisition,Equity,15000,0.01,26 Apr 2023,26 Apr 2023,29 Jun 2023,ESOP,,,,,,,NA,03 Jul 2023
500330,RAYMOND LTD.,Raymond Limited ESOP Trust,Connected Person,Equity Shares,0,0.00,Equity Shares,10191,17127810.00,Acquisition,Equity,10191,0.02,28 Jun 2023,28 Jun 2023,30 Jun 2023,Market Purchase,,,,,,,NSE,03 Jul 2023
531795,ATUL AUTO LTD.-$,KHUSHBU AUTO PRIVATE LIMITED,Promoter Group,Warrants,437710,1.58,Warrants,218855,43333290.00,Disposal,Warrants,218855,0.79,26 Jun 2023,26 Jun 2023,28 Jun 2023,Conversion of security,,,,,,,NA,03 Jul 2023
532809,FIRSTSOURCE SOLUTIONS LTD.,Prashanth  Nandella,Designated Person,Equity Shares,174000,0.02,Equity Shares,76025,10019335.00,Disposal,Equity,97975,0.01,30 Jun 2023,30 Jun 2023,03 Jul 2023,Market Sale,,,,,,,NSE,03 Jul 2023
543232,Computer Age Management Services Ltd,Prakash DK,Designated Person,Equity Shares,7561,0.00,Equity Shares,1329,2919413.00,Invoke,Equity,6232,0.00,28 Jun 2023,28 Jun 2023,02 Jul 2023,Invocation Of Pledged,,,,,,,NSE,03 Jul 2023
515093,MADHAV MARBLES & GRANITES LTD.,ARUNA DOSHI,Promoter,Equity Shares,797035,8.91,Equity Shares,3631,158127.00,Acquisition,Equity,800666,8.95,30 Jun 2023,30 Jun 2023,01 Jul 2023,Market Purchase,,,,,,,NSE,03 Jul 2023
531162,EMAMI LTD.-$,DIWAKAR FINVEST PRIVATE LIMITED,Promoter Group,Equity Shares,98667956,22.47,Equity Shares,500000,208775000.00,Revoke,Equity,98667956,22.47,27 Jun 2023,27 Jun 2023,30 Jun 2023,Pledge Released,,,,,,,NA,03 Jul 2023
517536,ONWARD TECHNOLOGIES LTD.,Satish Ramanan,Designated Person,Equity Shares,18000,0.08,Equity Shares,2000,1070710.00,Disposal,Equity,16000,0.07,05 Jun 2023,06 Jun 2023,02 Jul 2023,Market Sale,,,,,,,NSE,03 Jul 2023
540115,L&T Technology Services Ltd,Nitin Mehta,Designated Person,Equity Shares,0,0.00,Equity Shares,900,1800.00,Acquisition,Equity,900,0.00,14 Jun 2023,14 Jun 2023,30 Jun 2023,ESOP,,,,,,,NA,03 Jul 2023
526506,SYSTEMATIX CORPORATE SERVICES LTD.,Chandra Prakash Khandelwal,Promoter,Equity Shares,281839,2.17,Equity Shares,6040,1469567.00,Acquisition,Equity,287879,2.22,08 Jun 2023,30 Jun 2023,03 Jul 2023,Market Purchase,,,,,,,BSE,03 Jul 2023
531795,ATUL AUTO LTD.-$,KHUSHBU AUTO PRIVATE LIMITED,Promoter Group,Equity Shares,218855,0.79,Equity Shares,218855,43333290.00,Acquisition,Equity,437710,1.58,26 Jun 2023,26 Jun 2023,28 Jun 2023,Conversion of security,,,,,,,NA,03 Jul 2023
517536,ONWARD TECHNOLOGIES LTD.,Satish Ramanan,Designated Person,Equity Shares,20000,0.09,Equity Shares,2000,910000.00,Disposal,Equity,18000,0.08,26 May 2023,29 May 2023,02 Jul 2023,Market Sale,,,,,,,NSE,03 Jul 2023
543232,Computer Age Management Services Ltd,Subramanian B,Designated Person,Equity Shares,5369,0.00,Equity Shares,1240,2662937.00,Invoke,Equity,4129,0.00,30 Jun 2023,30 Jun 2023,03 Jul 2023,Invocation Of Pledged,,,,,,,NSE,03 Jul 2023
539300,A.K. Spintex Ltd,FASHION SUITING PVT LTD,Promoter Group,Equity Shares,2219132,44.10,Equity Shares,4000,429600.00,Acquisition,Equity,2223132,44.18,30 Jun 2023,30 Jun 2023,03 Jul 2023,Market Purchase,,,,,,,BSE,03 Jul 2023
531162,EMAMI LTD.-$,DIWAKAR FINVEST PRIVATE LIMITED,Promoter Group,Equity Shares,98667956,22.47,Equity Shares,4185683,1726384953.00,Revoke,Equity,98667956,22.47,28 Jun 2023,28 Jun 2023,30 Jun 2023,Pledge Released,,,,,,,NA,03 Jul 2023
517536,ONWARD TECHNOLOGIES LTD.,Satish Ramanan,Designated Person,Equity Shares,16000,0.07,Equity Shares,2000,1039430.00,Disposal,Equity,14000,0.06,06 Jun 2023,07 Jun 2023,02 Jul 2023,Market Sale,,,,,,,NSE,03 Jul 2023
500247,KOTAK MAHINDRA BANK LTD.,D Kannan,Connected Person,Equity Shares,713645,0.04,Equity Shares,51841,86799557.00,Acquisition,Equity,765486,0.04,30 Jun 2023,30 Jun 2023,03 Jul 2023,ESOP,,,,,,,NA,03 Jul 2023
542145,Roni Households Ltd,Harish Sirwani,Promoter & Director,Equity Shares,1988146,38.21,Equity Shares,23400,8424400.00,Acquisition,Equity,2011546,38.66,30 Jun 2023,30 Jun 2023,02 Jul 2023,Market Purchase,,,,,,,BSE,03 Jul 2023
531795,ATUL AUTO LTD.-$,VIJAY KISHANLAL KEDIA,Director,Equity Shares,1683502,6.07,Equity Shares,1885522,373333356.00,Acquisition,Equity,3569024,12.86,26 Jun 2023,26 Jun 2023,28 Jun 2023,Conversion of security,,,,,,,NA,03 Jul 2023
534748,STEEL EXCHANGE INDIA LTD.,Vizag Profiles Private Limited,Promoter Group,Equity Shares,254877520,21.48,Equity Shares,10000000,140500000.00,Pledge,Equity,254877520,21.48,28 Jun 2023,28 Jun 2023,30 Jun 2023,Creation Of Pledge,,,,,,,NA,03 Jul 2023
531162,EMAMI LTD.-$,DIWAKAR FINVEST PRIVATE LIMITED,Promoter Group,Equity Shares,98667956,22.47,Equity Shares,2762073,1173052403.00,Revoke,Equity,98667956,22.47,30 Jun 2023,30 Jun 2023,30 Jun 2023,Pledge Released,,,,,,,NA,03 Jul 2023
531892,KHANDWALA SECURITIES LTD.,Piggero Investments Private Limited,Promoter Group,Equity Shares,294986,1.93,Equity Shares,2500,75275.00,Acquisition,Equity,297486,1.95,30 Jun 2023,30 Jun 2023,03 Jul 2023,Market Purchase,,,,,,,NSE,03 Jul 2023
531795,ATUL AUTO LTD.-$,VIJAY KISHANLAL KEDIA,Director,Warrants,3367003,12.13,Warrants,1885522,373333356.00,Disposal,Warrants,1481481,5.34,26 Jun 2023,26 Jun 2023,28 Jun 2023,Conversion of security,,,,,,,NA,03 Jul 2023
500163,GODFREY PHILLIPS INDIA LTD.,Motto Investment Private Limited,Promoter Group,Equity Shares,79000,0.15,Equity Shares,45000,75200000.00,Disposal,Equity,34000,0.07,30 Jun 2023,30 Jun 2023,30 Jun 2023,Market Sale,,,,,,,BSE,03 Jul 2023
531162,EMAMI LTD.-$,SURAJ FINVEST PRIVATE LIMITED,Promoter Group,Equity Shares,105720226,24.08,Equity Shares,17317226,7142489864.00,Revoke,Equity,105720226,24.08,28 Jun 2023,28 Jun 2023,30 Jun 2023,Pledge Released,,,,,,,NA,03 Jul 2023
530443,KIRAN SYNTEX LTD.,MAHESHKUMAR MOTIRAM GODIWALA,Promoter,Equity Shares,56897,1.34,Equity Shares,101,6.00,Acquisition,Equity,56998,1.34,30 Jun 2023,30 Jun 2023,03 Jul 2023,Market Purchase,,,,,,,BSE,03 Jul 2023
531795,ATUL AUTO LTD.-$,JAYANTIBHAI JAGJIVANBHAI CHANDRA,Promoter,Warrants,67340,0.24,Warrants,67340,13333320.00,Disposal,Warrants,0,0.00,26 Jun 2023,26 Jun 2023,28 Jun 2023,Conversion of security,,,,,,,NA,03 Jul 2023
532927,ECLERX SERVICES LTD.,Eclerx Employee Welfare Trust,Trust,Equity Shares,842024,1.72,Equity Shares,34227,56426545.00,Disposal,Equity,807797,1.65,30 Jun 2023,30 Jun 2023,30 Jun 2023,Market Sale,,,,,,,NSE,03 Jul 2023
531795,ATUL AUTO LTD.-$,JAYANTIBHAI JAGJIVANBHAI CHANDRA,Promoter,Equity Shares,1385412,4.99,Equity Shares,67340,13333320.00,Acquisition,Equity,1452752,5.23,26 Jun 2023,26 Jun 2023,28 Jun 2023,Conversion of security,,,,,,,NA,03 Jul 2023
530365,ORIENT BELL LIMITED-$,MAHENDRA K. DAGA HUF,Promoter Group,Equity Shares,473400,3.27,Equity Shares,1000,520000.00,Acquisition,Equity,474400,3.28,30 Jun 2023,30 Jun 2023,03 Jul 2023,Market Purchase,,,,,,,NSE,03 Jul 2023
532927,ECLERX SERVICES LTD.,Eclerx Employee Welfare Trust,Trust,Equity Shares,862769,1.76,Equity Shares,20745,35149948.00,Disposal,Equity,842024,1.72,28 Jun 2023,28 Jun 2023,30 Jun 2023,Market Sale,,,,,,,NSE,03 Jul 2023
500163,GODFREY PHILLIPS INDIA LTD.,H M A  Udyog Private Limited,Promoter Group,Equity Shares,77228,0.15,Equity Shares,4000,6810751.00,Acquisition,Equity,81228,0.16,30 Jun 2023,30 Jun 2023,30 Jun 2023,Market Purchase,,,,,,,NSE,03 Jul 2023
500520,MAHINDRA & MAHINDRA LTD.,Harish Namdeo Chavan,Designated Person,Equity Shares,32761,0.00,Equity Shares,700,1013900.00,Disposal,Equity,32061,0.00,30 Jun 2023,30 Jun 2023,03 Jul 2023,Market Sale,,,,,,,NSE,03 Jul 2023
500163,GODFREY PHILLIPS INDIA LTD.,H M A  Udyog Private Limited,Promoter Group,Equity Shares,81228,0.16,Equity Shares,41000,69149931.00,Acquisition,Equity,122228,0.24,30 Jun 2023,30 Jun 2023,30 Jun 2023,Market Purchase,,,,,,,BSE,03 Jul 2023
532523,BIOCON LTD.,VEENA VASANTH,Designated Person,Equity Shares,68536,0.01,Equity Shares,18500,4533750.00,Disposal,Equity,50036,0.00,28 Jun 2023,28 Jun 2023,29 Jun 2023,Market Sale,,,,,,,NSE,03 Jul 2023
526731,BRIGHT BROTHERS LTD.-$,Sonali Amit Pednekar,Employee,Equity Shares,0,0.00,Equity Shares,1,161.00,Acquisition,Equity,1,0.00,30 Jun 2023,30 Jun 2023,03 Jul 2023,Market Purchase,,,,,,,BSE,03 Jul 2023
532523,BIOCON LTD.,KRISHNASAI TANNEERU,Designated Person,Equity Shares,92500,0.01,Equity Shares,40000,9800000.00,Disposal,Equity,52500,0.01,29 Jun 2023,29 Jun 2023,03 Jul 2023,Market Sale,,,,,,,NSE,03 Jul 2023
532719,B.L.KASHYAP AND SONS LTD.,Vineet Kashyap,Promoter & Director,Equity Shares,48969330,21.72,Equity Shares,34000,1475993.00,Acquisition,Equity,49003330,21.74,30 Jun 2023,30 Jun 2023,03 Jul 2023,Market Purchase,,,,,,,NSE,03 Jul 2023
532523,BIOCON LTD.,KRISHNASAI TANNEERU,Designated Person,Equity Shares,52500,0.01,Equity Shares,20000,5220000.00,Disposal,Equity,32500,0.00,30 Jun 2023,30 Jun 2023,03 Jul 2023,Market Sale,,,,,,,NSE,03 Jul 2023
540332,Tanvi Foods (India) Ltd,VASAVI ADUSUMILLI,Promoter & Director,Equity Shares,338038,6.30,Equity Shares,1400000,67200000.00,Acquisition,Equity,1738038,16.69,29 Jun 2023,29 Jun 2023,03 Jul 2023,Allotment,,,,,,,BSE,03 Jul 2023
532523,BIOCON LTD.,VEENA VASANTH,Designated Person,Equity Shares,81536,0.01,Equity Shares,3000,738000.00,Disposal,Equity,78536,0.01,21 Jun 2023,21 Jun 2023,29 Jun 2023,Market Sale,,,,,,,NSE,03 Jul 2023
539300,A.K. Spintex Ltd,TILOK CHAND CHHABRA,Promoter & Director,Equity Shares,629861,12.52,Equity Shares,1100,116600.00,Acquisition,Equity,630961,12.54,30 Jun 2023,30 Jun 2023,03 Jul 2023,Market Purchase,,,,,,,BSE,03 Jul 2023
532523,BIOCON LTD.,VEENA VASANTH,Designated Person,Equity Shares,78536,0.01,Equity Shares,10000,2446500.00,Disposal,Equity,68536,0.01,27 Jun 2023,27 Jun 2023,29 Jun 2023,Market Sale,,,,,,,NSE,03 Jul 2023
531892,KHANDWALA SECURITIES LTD.,Paresh Khandwala,Promoter & Director,Equity Shares,203829,1.71,Equity Shares,550,16902.00,Acquisition,Equity,204379,1.71,30 Jun 2023,30 Jun 2023,03 Jul 2023,Market Purchase,,,,,,,NSE,03 Jul 2023
532523,BIOCON LTD.,VEENA VASANTH,Designated Person,Equity Shares,82036,0.01,Equity Shares,500,120750.00,Disposal,Equity,81536,0.01,15 Jun 2023,15 Jun 2023,29 Jun 2023,Market Sale,,,,,,,NSE,03 Jul 2023
540124,G N A Axles Ltd,GNA GEARS LIMITED,Promoter Group,Equity Shares,11800,0.05,Equity Shares,400,320300.00,Acquisition,Equity,12200,0.06,23 Jun 2023,27 Jun 2023,29 Jun 2023,Market Purchase,,,,,,,NSE,03 Jul 2023
542772,360 ONE WAM LTD,JAPHIA WALKER,Employee,Equity Shares,80484,0.02,Equity Shares,15000,6820258.00,Disposal,Equity,65484,0.02,30 Jun 2023,30 Jun 2023,30 Jun 2023,Market Sale,,,,,,,NSE,03 Jul 2023
530171,DAULAT SECURITIES LTD.,MEGHA KOCHAR,Connected Person,Equity Shares,2291,0.04,Equity Shares,3561,70000.00,Acquisition,Equity,5852,0.11,24 Jun 2023,30 Jun 2023,30 Jun 2023,Market Purchase,,,,,,,BSE,03 Jul 2023
542772,360 ONE WAM LTD,A PRAMOD KUMAR,Employee,Equity Shares,178565,0.05,Equity Shares,8421,3827067.00,Disposal,Equity,170144,0.05,30 Jun 2023,30 Jun 2023,30 Jun 2023,Market Sale,,,,,,,NSE,03 Jul 2023
530365,ORIENT BELL LIMITED-$,MAHENDRA K DAGA,Promoter,Equity Shares,3387697,23.38,Equity Shares,1074,558480.00,Acquisition,Equity,3388771,23.39,30 Jun 2023,30 Jun 2023,03 Jul 2023,Market Purchase,,,,,,,NSE,03 Jul 2023
542772,360 ONE WAM LTD,PRIYA PRADIP BISWAS,Employee,Equity Shares,54520,0.02,Equity Shares,4000,1820120.00,Disposal,Equity,50520,0.01,30 Jun 2023,30 Jun 2023,30 Jun 2023,Market Sale,,,,,,,NSE,03 Jul 2023
542772,360 ONE WAM LTD,PRIYA PRADIP BISWAS,Employee,Equity Shares,62520,0.02,Equity Shares,8000,3622160.00,Disposal,Equity,54520,0.02,28 Jun 2023,28 Jun 2023,30 Jun 2023,Market Sale,,,,,,,NSE,03 Jul 2023
542772,360 ONE WAM LTD,ABHISHEK SHAH,Employee,Equity Shares,16468,0.00,Equity Shares,6468,2923536.00,Disposal,Equity,10000,0.00,27 Jun 2023,27 Jun 2023,30 Jun 2023,Market Sale,,,,,,,NSE,03 Jul 2023
542772,360 ONE WAM LTD,MAYANK PADIA,Employee,Equity Shares,16000,0.00,Equity Shares,16000,7280000.00,Disposal,Equity,0,0.00,30 Jun 2023,30 Jun 2023,30 Jun 2023,Market Sale,,,,,,,NSE,03 Jul 2023
541729,HDFC Asset Management Company Ltd,ALOK SHEOPURKAR,Designated Person,Equity Shares,57896,0.03,Equity Shares,5000,11490000.00,Disposal,Equity,52896,0.02,30 Jun 2023,30 Jun 2023,30 Jun 2023,Market Sale,,,,,,,NSE,03 Jul 2023
541729,HDFC Asset Management Company Ltd,ANUPAM JOSHI,Designated Person,Equity Shares,84000,0.04,Equity Shares,4000,9168800.00,Disposal,Equity,80000,0.04,30 Jun 2023,30 Jun 2023,30 Jun 2023,Market Sale,,,,,,,NSE,03 Jul 2023
541729,HDFC Asset Management Company Ltd,KRISHAN SHANKAR SHARMA,Designated Person,Equity Shares,18420,0.01,Equity Shares,1720,3949120.00,Disposal,Equity,16700,0.01,30 Jun 2023,30 Jun 2023,30 Jun 2023,Market Sale,,,,,,,NSE,03 Jul 2023
523842,Super Tannery Limited,FARHA FATIMA,Promoter Group,Equity Shares,4424662,4.10,Equity Shares,20000,145000.00,Disposal,Equity,4404662,4.08,23 Jun 2023,30 Jun 2023,03 Jul 2023,Market Sale,,,,,,,BSE,03 Jul 2023
532915,RELIGARE ENTERPRISES LTD.,Shalabh Garg,Employee,Equity Shares,61000,0.02,Equity Shares,9000,1610550.00,Revoke,Equity,61000,0.02,28 Jun 2023,28 Jun 2023,29 Jun 2023,Revocation Of Pledge,,,,,,,NA,03 Jul 2023
532915,RELIGARE ENTERPRISES LTD.,Shalabh Garg,Employee,Equity Shares,61000,0.02,Equity Shares,9000,1614420.00,Disposal,Equity,52000,0.02,28 Jun 2023,28 Jun 2023,29 Jun 2023,Market Sale,,,,,,,NSE,03 Jul 2023
532915,RELIGARE ENTERPRISES LTD.,Sanjeev Tandon,Employee,Equity Shares,24000,0.01,Equity Shares,3000,540000.00,Revoke,Equity,24000,0.01,30 Jun 2023,30 Jun 2023,03 Jul 2023,Revocation Of Pledge,,,,,,,NA,03 Jul 2023
526721,NICCO PARKS & RESORTS LTD.-$,Arijit Sengupta,Promoter Group,Equity Shares,2000,0.00,Equity Shares,2000,252044.00,Disposal,Equity,0,0.00,28 Jun 2023,28 Jun 2023,30 Jun 2023,Market Sale,,,,,,,BSE,03 Jul 2023
532830,Astral Ltd,Chirag Mansukhlal Pandya,Designated Person,Equity Shares,21466,0.00,Equity Shares,1000,1990000.00,Disposal,Equity,20466,0.00,30 Jun 2023,30 Jun 2023,30 Jun 2023,Market Sale,,,,,,,NSE,03 Jul 2023
532830,Astral Ltd,Pritesh Nareshbhai Shah,Designated Person,Equity Shares,6141,0.00,Equity Shares,1000,1998864.00,Disposal,Equity,5141,0.00,30 Jun 2023,30 Jun 2023,30 Jun 2023,Market Sale,,,,,,,NSE,03 Jul 2023
